English,Chinese
Dial Input Timeout,撥號輸入超時
DID,DID
DIDs,DID
Direction,方向
Disable,禁用
Display records in,顯示記錄
Disposition,性格
Documentation,文獻資料
Doesnt Contain,不包含
Domain,域
Draft,草案
Due Date,截止日期
Duplicate,重複
Duration,持續時間
Email,電子郵件
Email Alerts ?,電子郵件警報？
Email History,電子郵件記錄
Email History List ,電子郵件歷史記錄列表
Email Notification,電子郵件通知
Email Notifications,電子郵件通知
Email Status,電郵狀態
Email Template,電子郵件範本
Emails Older Than Days,電子郵件早於
En,恩
Enable,啟用
Enable Signup,啟用註冊
Ends With,以。。結束
Enterprise,企業
Entity Type,實體類型
Environment,環境
Ewallet Payment Gateway,電子錢包支付網關
Expired Accounts After Days,日後過期的帳戶
Expiry Date,到期日
Export,出口
Failover  GW Name #1,故障轉移GW名稱1
Failover GW Name #2,故障轉移GW名稱＃2
Favicon,網站圖標
Fax,傳真
Fee,費用
File Path,文件路徑
Filter,過濾
First Name,名字
First Used,首次使用
Fixer Key,固定鍵
FMAddon,FM附加
Footer,頁腳
Fraud Detection,欺詐識別
Free Minutes,自由時間
FreeSwitch Servers,FreeSwitch服務器
From,從
From Date,從日期
From Timestamp,從時間戳記
Gateway Name,網關名稱
Gateways,網關
General,一般
General Input Timeout,通用輸入超時
Generate Invoice,生成發票
Generate Pin,產生圖釘
Generates Alarm From System,從系統生成警報
Generates Local Number system,生成本地號碼系統
Generates ticket of issues from system,從系統生成問題單
Generates Various Alarms From System,從系統生成各種警報
Generates Various Country Reports From System,從系統生成各種國家報告
Generates various reports from system,從系統生成各種報告
Get Addons,獲取附件
Get App,獲取應用
Global,全球
Grace Time,寬限時間
Grand Total,累計
Group By,通過...分組
Group By #1,按＃1分組
Group By #2,按＃2分組
Group By #3,按＃3分組
Group By #Time,按＃時間分組
Header,標頭
Homer,荷馬
Host,主辦
Import,進口
Import Customers,導入客戶
Import with field map,使用現場圖導入
Inbound,入站
Inbound Fax,入站傳真
Included Seconds,包括秒
Increment,增量
Initial Balance,初始餘額
Initial Increment,初始增量
Inovices Older Than Days,革新遠古時代
Install,安裝
Installed,已安裝
Interval,間隔
Interval Type,間隔類型
Invoice Configuration ,發票配置
Invoice Date,發票日期
Invoice Due Days,發票到期日
Invoice Due Notification,發票到期通知
Invoice Notification,發票通知
Invoice Number,發票號碼
Invoice Prefix,發票前綴
Invoice Start Form,發票開始表格
Invoices,發票
IP,知識產權
IP Settings,IP設定
Is Equal To,等於
Is Not Equal To,不等於
Is Purchased?,已購買？
Iso,磯
Iso3,異3
IVR Count,IVR計數
Languages,語言能力
Last Execution Date,上次執行日期
Last Modified Date,最後修改日期
Last Name,姓
Last Paid Date,最後付款日期
Latest Orders,最新訂單
LC Charge / Min,LC費用/分鐘
LC Charge/Min,LC費用/分鐘
Live,生活
Live Call Report,實時通話報告
Live Id,即時編號
Live Key,活鑰匙
Live Url,直播網址
Local Call Timeout,本地通話超時
Local Number,本地號碼
Local Numbers,本地號碼
Locale code,區域代碼
Localization,本土化
Localization Type,本地化類型
Localizations,本地化
Log out,登出
Log Path,日誌路徑
Logo,商標
Low balance Alert?,餘額不足警報？
Mail Log,郵件記錄
Manually,手動地
Markup,標記
Mass Create,大量創建
Mass Email,大量電子郵件
Max Free Length,最大自由長度
MCD,MCD
Minimum Fund Transfer,最低轉賬
Minutes,分鐘
Minutes Announcement,會議紀要
Minutes Breakdown,分鐘細目
Moderate,中等
Modified Date,修改日期
Module,模組
Name,名稱
New Accounts,新帳戶
Nexmo API Key,Nexmo API密鑰
Nexmo Secret Key,Nexmo秘鑰
Next Execution Date,下次執行日期
Nickname,暱稱
No,沒有
No Records Found,沒有找到記錄
Notes,筆記
Notifications,通知事項
Notify before due days,在到期日之前通知
Number,數
Number Type,號碼類型
 of , 的 
Opensips,開飲
Opensips DB Engine,Opensips數據庫引擎
Opensips DB Host,Opensips數據庫主機
Opensips DB Name,Opensips數據庫名稱
Opensips DB Pass,Opensips數據庫通行證
Opensips DB User,Opensips數據庫用戶
Opensips Domain,Opensips網域
Opensource,開源的
Order,訂購
Order Amount,訂單金額
Order Date,訂購日期
Order ID,訂單編號
Order Now,現在下單
Orders,訂單
Org. Cost,單位成本
Org. Destination,單位目的地
Org. Pefix,單位佩克斯
Origination Rates,始發率
Outbound Fax,出站傳真
Outstanding Amount INR,未付金額INR
Page ,頁 
Password,密碼
Password Strength,密碼強度
Payment Method,付款方法
Payment Methods,支付方式
Payment Status,支付狀態
Paypal,貝寶
Per Minute Cost,每分鐘費用
Phone,電話
Pin Input Timeout,引腳輸入超時
Pin Length,針長
Pin retries,PIN重試
Pinless Authentication,無密碼驗證
Place Order ,下訂單
Playback Audio Notifications,播放音頻通知
Port,港口
Portal personalization,門戶個性化
Powered by ASTPP,由ASTPP提供支持
Prefix,字首
Prepend,前置
Preserve,保留
Price,價錢
Priority,優先
Product Category,產品分類
Product Details,產品詳情
Product Name,產品名稱
Products,產品展示
Profile Action,個人資料動作
Profit,利潤
Provider,提供者
Provider CDRs Report ,提供商CDR報告
Provider Outbound,提供商出站
Provider Outbound Report,供應商出站報告
Provider Summary Report ,供應商摘要報告
Province,省
Province/State,省/州
Proxy,代理
Purge,清除
Push Notifications,推送通知
Quantity,數量
Rate,率
Rate Announcement,收費公告
Rate Count,費率計數
Rate Group,費率組
Rate Groups,費率組
Rate Information,價格信息
Ratedeck,拉德特克
Ratedeck Information,蘭德克信息
Rates Count,費率計數
Realtime Billing,實時計費
Receiver Email,收件人電子郵件
Recording Files Older Than Days,記錄比天久的文件
 Records, 記錄
Referer Page,推薦頁面
Refill By,充值方式
Refill Coupon Length,充值券長度
Refill Coupons,增值券
Refill Report,補充報告
Refills,筆芯
Register,寄存器
Release if no balance,如果沒有餘額則釋放
Report a Bug,報告錯誤
Reports,報告書
Request URI,請求URI
Reseller,轉銷商
Reseller can resell,轉銷商可以轉售
Reseller Summary,經銷商摘要
Reseller Summary Report ,轉銷商摘要報告
Resellers,轉銷商
Resellers CDRs Report ,轉銷商CDR報告
Resend Mail,重新發送郵件
Role,角色
Roles & Permission,角色和權限
Roles & Permissions,角色和權限
Routing Prefix,路由前綴
Routing Type,路由類型
Sandbox,沙盒
Sandbox Id,沙盒ID
Sandbox Key,沙盒密鑰
Sandbox Name,沙箱名稱
Sandbox Url,沙盒網址
Save,保存
Schedule Reports,計劃報告
Search,搜索
Select File,選擇文件
Select Year,選擇年份
Services,服務
Set Maximum Add card limit,設置最大添加卡數限制
Settings,設定值
Setup Fee,設立費
Signup,註冊
SIP Devices,SIP設備
SIP IP,SIP IP
SIP Port,SIP端口
SIP Profile,SIP配置文件
SIP Profiles,SIP配置文件
SMS,短信
SMS Body,短信正文
SMS Notifications,短信通知
SMS Status,短信狀態
SMTP,SMTP
SMTP Host,SMTP主機
SMTP Pass,SMTP通行證
SMTP Port,SMTP端口
SMTP User,SMTP用戶
Start prefix,起始前綴
Starting Digit,起始數字
Status,狀態
Strip,跳閘
Strong,強大
Subject,學科
Subscription,訂閱
Supportticket,支持票
Switch,開關
Tariff,關稅
Tax,稅
Tax Information,稅務資訊
Telephone,電話
Telephone as account number,電話為帳號
Templates,範本
Term. Cost,術語。成本
Term. Destination,術語。目的地
Term. Prefix,術語。字首
Term. Trunk,術語。樹幹
Termination Rates,終止率
Third Party,第三方
This Month,這個月
This Week,本星期
Timelimit Announcement,時限公告
Timestamp,時間戳記
Timezone,時區
To,至
To Number,到號碼
To Timestamp,時間戳記
Today,今天
Top 10 Accounts,前10個帳戶
Top 10 Destinations,十大目的地
Total Calls ,總通話
Total Charges,總收費
Total Minutes,總分鐘數
Transaction ID,交易編號
Translations,翻譯
Translations Language,翻譯語言
Trunk,樹幹
Trunks,皮箱
Type,類型
Unpaid,未付
Update,更新資料
Used,用過的
Used Date,使用日期
Username,用戶名
Version,版
Version 4.0 Beta,版本4.0 Beta
View All,查看全部
Voicemail,語音信箱
Panel Access,面板訪問
Profile,個人資料
Billing Settings,帳單設定
Pin,銷
Account Settings,帳號設定
Notification Email,通知電子郵件
Address,地址
NON-CLI Rate Group,非CLI費率組
Billing Schedule,開票時間表
Billing Day,開票日
Tax Number,稅號
Invoice Note,發票說明
Reference,參考
Cancel,取消
Device Information,設備信息
Voicemail Options,語音信箱選項
Mail To,郵寄到
Attach File,附加檔案
Local After Email,本地後電子郵件
Send all Message,發送所有消息
Close,關
IP map,IP地圖
Identificador de llamadas,利亞馬達斯身份
Add Caller ID,添加來電顯示
Create Reseller,創建經銷商
Role Name,角色名稱
Outstanding Amount,未付金額
To Date,至今
Before Balance,平衡前
Commission Report,佣金報告
MonthlyFee,月租費
Grace Time (Sec.),寬限時間（秒）
Import DIDs,導入DID
File must be in the following format,文件必須採用以下格式
DID Import Process,DID導入過程
Get Sample file,獲取樣本文件
Check Header,檢查標題
Select the file,選擇文件
Account Count,賬戶數
Acc. Number Length,累積號碼長度
Valid Days,有效天數
Create Access Number,創建訪問號碼
Information,信息
Import Access Numbers,導入訪問號碼
Access Numbers Import Process,訪問號碼導入過程
DIDs Bulk Assign,DID批量分配
Bulk DID Purchase,批量DID購買
Provience,普羅旺斯
Assign Number,分配號碼
DID Destination,DID目的地
DID Forward,DID轉發
Always,總是
If Busy,如果忙
If SIP Not Registered,如果未註冊SIP
If No Answer,如果沒有答案
New Rate Group Name,新費率組名稱
Duplicate Rate Group Information,重複費率組信息
Import Origination Rates,進口原產率
Force Trunk,力箱
Please select atleast one record to dele,請選擇至少一條記錄進行刪除
Import Ratedeck,進口拉特德克
Optional Information,可選信息
From- Domain,發件人域
From User,來自用戶
Extension,延期
Extension-In-Contact,聯繫擴展
Ping,平
Contact Params,聯繫參數
Retry-Seconds,重試秒
Register-Proxy,註冊代理
Channel,渠道
Failover GW Name,故障轉移網關名稱
Create Trunk,創建中繼
Import Termination Rates,進口終止率
Call Timeout (Sec.),通話超時（秒）
Trunk List,行李箱清單
Reset,重啟
Create SIP Profile,創建SIP配置文件
Create Freeswitch Server,創建Freeswitch服務器
Live Calls,實時通話
Term Cost,期限費用
Term Destination,學期目的地
Term Prefix,術語前綴
Localizaciones,本地化
Create Localization,創建本地化
Origination,始發地
Termination,終止
Inbound Callerid Translation,入站Callerid翻譯
Destination Number Translation,目的地號碼轉換
Outbound Callerid Translation,出站Callerid翻譯
Create Call Barring,創建呼叫限制
Callbarring Settings,通話限制設置
Product Summary Report,產品摘要報告
SIP User,SIP用戶
Product,產品
Taxes,稅收
Update Currencies,更新貨幣
File Name,文檔名稱
Database Information,數據庫信息
Database Backup,數據庫備份
Command,命令
Cron Settings,Cron設定
Create Cron Settings,創建Cron設置
Stripe,條紋
Live Secret key,實時秘密密鑰
Live Publishable key,實時發布密鑰
Set Percentage Charges,設定費用百分比
Set Fix Charges,設定固定費用
Stripe Mode,條紋模式
Sandbox secret key,沙盒密鑰
Sandbox publishable key,沙盒可發布密鑰
Version 4.0 Enterprise,版本4.0企業
Powered by,供電
Import Customer Using Field Mapper,使用字段映射器導入客戶
You must either select a field from your,您必須從中選擇一個字段
Records with duplicate account number an,帳號重複的記錄
Account Import Error,帳戶導入錯誤
Back to Customer List,返回客戶清單
Duplicate accounts with account number /,帳號重複的帳號/
Records imported successfully,記錄已成功導入
Records not imported,記錄未導入
Error In CSV File,CSV文件錯誤
Invoice Summary,發票摘要
Customer Details,顧客信息
Invoice Details,發票明細
Account Number,賬號
Invoice Amount,發票金額
Invoice Item,發票項目
Sub Total,小計
Total Due,應付總額
Note,注意
Add Setting,添加設置
Edit SIP Profile,編輯SIP配置文件
New,新
Used?,用過的？
View Email,查看電郵
Active,活性
Inactive,不活躍
Black List,黑名單
White List,白名單
Freeswitch Server Information,Freeswitch服務器信息
Currencies,貨幣
Edit Currency,編輯幣種
Is Distributor,是分銷商
Package created successfully!,包創建成功！
DID Removed Successfully.,DID已成功刪除。
DID not found.,找不到DID。
Password changed Sucessfully....!!!,密碼更改成功.... !!!
New Password & Conformpassword not match,新密碼和符合密碼不匹配
Invalid old passwword.,無效的舊密碼。
Permission Denied!,沒有權限！
Refill Coupon amount is added successful,增值券金額成功添加
PLease upload maximum file,請上傳最大文件數
files added successfully!,文件添加成功！
File Uploading Fail Please Try Again,文件上傳失敗，請重試
Please upload only image!,請僅上傳圖片！
Invoice config updated successfully!,發票配置已成功更新！
Your Profile Updated Successfully!,您的個人資料已成功更新！
Something wrong.Please contact to admini,出了點問題。請聯繫管理員
DID Released Successfully!,DID發布成功！
IP already exist in system.,IP已存在於系統中。
IP Added Sucessfully.,IP已成功添加。
IP Removed Sucessfully.,IP已成功刪除。
SIP Device Updated Successfully!,SIP設備更新成功！
SIP Device Added Successfully!,SIP設備已成功添加！
SIP Device Removed Sucessfully!,SIP設備已成功刪除！
Caller ID Added Sucessfully!,來電顯示已成功添加！
Please Enter Caller ID value.,請輸入來電顯示值。
Caller ID already Exists.,來電顯示已經存在。
Caller ID removed sucessfully!,來電顯示已成功刪除！
Alert Threshold Updated Successfully!,警報閾值已成功更新！
Can not trnasfer fund to postpaid custom,無法將資金轉移到後付款的習慣中
Access Denied! unable transfer fund to t,拒絕訪問！無法將資金轉入t
You can not transfer fund in same accoun,您不能在同一賬戶中轉賬
You can only transfer fund in same level,您只能在同一級別轉賬
Please enter To account number.,請輸入至帳號。
Please enter valid amount.,請輸入有效金額。
You have insufficient balance.,您的餘額不足。
Please enter valid account number.,請輸入有效的帳號。
Please enter amount greater then 0.,請輸入大於0的金額。
You need to enter minimum for fund trans,您需要輸入最低資金限額
Please enter valid account number!,請輸入有效的帳號！
Insuffiecient amount !,數量不足！
Transfer successfully!,轉移成功！
Account number not found.,找不到帳號。
OpenSips updated successfully!,OpenSips更新成功！
Duplicate Username Found.Username Must b,找到重複的用戶名。用戶名必須為b
User name is required field.,用戶名為必填字段。
Opensips Device Removed Successfully!.,Opensips設備已成功刪除！
Speed-dial Number Added Successfully!,快速撥號號碼已成功添加！
Can not delete blank speeddial number,無法刪除空白快速撥號號碼
Speed-dial Number Removed Successfully!,快速撥號號碼已成功刪除！
Pin Updated Successfully!,引腳更新成功！
DID Updated Successfully!,DID已成功更新！
for fund transfer.,進行資金轉移。
You need to enter minimum,您需要輸入最小值
please enter recharge value,請輸入充值
New Password,新密碼
Old Password,舊密碼
Conform Password,符合密碼
Letters only please,請只寫字母
IP Mapping,IP映射
The Coupon Number field must contain onl,優惠券編號字段必須包含onl
The Coupon Number field have inactive re,優惠券編號字段具有無效的重新
This Coupon Number is already in use.,此優惠券號已被使用。
This Coupon Number is not found.,找不到此優惠券編號。
The Coupon Number field is required.,優惠券編號字段為必填項。
REFILL COUPON RECHARGE,充值券充值
You just recharged,你剛剛充電
account with The new balance will be,具有新余額的帳戶將是
My Profile,我的簡歷
My Account,我的帳戶
Alert Threshold,警報閾值
The Caller ID field is required.,來電顯示字段為必填項。
Change Password,更改密碼
Bill Type,帳單類型
Bill Days,比爾·戴斯
New Products,新產品
Active Products,活性產品
Outstanding,優秀
Today's Calls,今天的電話
Recent Calls,最近通話
The Available DIDs field is required.,“可用的DID”字段為必填字段。
Please enter your password,請輸入您的密碼
Please enter your first name,請輸入您的名字
Please enter your email,請輸入您的電子郵件
Please enter valid email,請輸入有效的電子郵件
This field is required.,這是必填欄。
Email Setting,電郵設定
SMTP Password,SMTP密碼
Are you sure want to remove logo?,您確定要刪除徽標嗎？
The IP field must contain a unique value,IP字段必須包含唯一值
The IP field have not valid IP.,IP字段無效的IP。
The IP field is required.,IP字段是必填字段。
The Name field is required.,名稱字段是必需的。
Please enter only alpha-numeric value,請僅輸入字母數字值
Are you sure want to delete speed dial r,您確定要刪除快速撥號嗎？
Generated Date,產生日期
My Products,我的產品
Pinless CLI,無針CLI
Refill Coupon,充值券
TopUp,充值
Pay with Paypal,用貝寶付款
Pay with Card,用卡付款
Assign,分配
Send Credit,發送積分
To Account,開戶
From Account,從帳戶
Transfer,轉讓
Telephone 1,電話1
Telephone 2,電話2
Address 2,地址2
Zip/Postal Code,郵編/郵政編碼
User Profile,用戶資料
Low Balance Alert Level,低餘額警報級別
Enable Email Alerts ?,啟用電子郵件警報？
Low Balance Alert Email,低餘額警報電子郵件
User name,用戶名
Something went to wrong !,出問題了！
Product Purchased successfully !,產品購買成功！
Insufficent Balance to purchase product ,餘額不足，無法購買產品
Product assigned successfully!,產品分配成功！
Something went wrong !,出了些問題 ！
Product Not Found,找不到產品
Transaction has been failed,交易失敗
not inserted. Transaction has been faile,沒有插入。交易失敗
Select Customer.,選擇客戶。
Product Information,產品信息
Price+SetUp Fee,價格+設置費
Use Voucher,使用憑證
Amount Without Tax,不含稅金額
Total Tax,總稅
Amount With Tax,含稅金額
Parent Products,母產品
Edit Product,編輯產品
Product updated successfully!,產品更新成功！
Product added successfully!,產品添加成功！
Product removed successfully!,產品成功移除！
Product optin successfully!,產品選擇成功！
Edit Info,編輯資訊
Product assign successfully,產品分配成功
Insufficient balance to assign product!,餘額不足，無法分配產品！
Terminated Updated Successfully!,終止成功更新！
Terminated,已終止
Setup Cost,設置成本
Order New,訂購新
Caller ID updated successfully!,來電顯示已成功更新！
Caller ID added successfully!,來電顯示已成功添加！
Caller ID removed successfully!,來電顯示已成功刪除！
Name is not contain any space,名稱不包含任何空格
Name already exist in system.,名稱已存在於系統中。
Callbarring Settings Updated Successfull,呼叫限制設置已成功更新
allbarring Settings Added Successfully!,allbarring設置已成功添加！
Call Barring Removed Successfully!,呼叫限制已成功刪除！
Calltype already exist in system.,系統中已經存在呼叫類型。
Calltype Updated Successfully!,呼叫類型已成功更新！
Calltype Added Successfully!,呼叫類型已成功添加！
calltype removed successfully!,通話類型已成功刪除！
File must be in the following format(.cs,文件必須採用以下格式（.cs
Import Package Codes:,導入包裝代碼：
Records Imported Successfully:,記錄已成功導入：
Records Not Imported :,記錄未導入：
Download Errors,下載錯誤
Back to Package Patterns List,返回包裝模式清單
Add To List,添加到列表
Routing Prefix already exist in system.,系統中已經存在路由前綴。
Rate Group Updated Successfully!,費率組成功更新！
Rate Group Added Successfully!,費率組已成功添加！
Duplicate Rate Group Added Successfully!,重複費率組已成功添加！
Routing Prefix (Enterprise),路由前綴（企業）
Priority (Enterprise),優先級（企業）
Percentage (WIP) (Enterprise),百分比（WIP）（企業）
LCR,LCR
Percentage,百分比
Tax removed successfully!,稅收已成功刪除！
Tax added successfully!,增稅成功！
Tax updated successfully!,稅務更新成功！
Charges List,收費清單
Trunk Updated Successfully!,中繼已成功更新！
Trunk Added Successfully!,中繼已成功添加！
Trunk removed successfully!,中繼成功移除！
setting updated successfully!,設置更新成功！
Template Updated Successfully!,模板更新成功！
Template Added Successfully!,模板已成功添加！
Country Updated successfully!,國家成功更新！
Country Added successfully!,國家已成功添加！
Country removed successfully!,國家已成功刪除！
Currency Updated Successfully!,貨幣更新成功！
My Rates,我的房價
Cost / Min,費用/分鐘
Purchase,採購
Available DIDs,可用的DID
New IP,新知識產權
Digits,位數
Email Address,電子郵件地址
Call Forward,呼叫轉接
If Busy:,如果忙：
If SIP Not Registered:,如果未註冊SIP：
If No Answer:,如果沒有答案：
Pay Now,現在付款
Pay with Account,用賬戶付款
Please wait,請耐心等待
Coupon Number:,優惠券編號：
Add Voucher,添加優惠券
Selected Plan,選擇方案
My Product,我的產品
Parent Product,母產品
Edit Email Template,編輯電子郵件模板
Details,細節
KEY,鍵
Value,值
Records with duplicate account number and email will be ignored.,帳號和電子郵件重複的記錄將被忽略。
Account Details,帳戶詳細資料
Mass Customer,大眾客戶
Daily,日常
Monthly,每月一次
Prepaid,預付
Postpaid,後付
Force Caller ID,強制來電顯示
Customer Profile,客戶資料
Caller Id Name,來電顯示名稱
Caller Id Number,來電顯示號碼
Blocked Codes,被阻止的代碼
Page will display only receipts and confirmed invoices.,頁面將僅顯示收據和已確認的發票。
Accessnumber Updated Successfully!,Accessnumber已成功更新！
Accessnumber Removed Successfully!,Accessnumber已成功刪除！
Invalid file format : Only CSV file allows to import records(Can't import empty file),無效的文件格式：僅CSV文件允許導入記錄（不能導入空文件）
Please Select File.,請選擇文件。
 are required, 是必須的
 is Required, 是必須的
 is not Valid, 無效
Duplicate accessnumber found from database,從數據庫中找到重複的訪問號
Duplicate accessnumber found from import file.,從導入文件中找到重複的訪問號。
Total,總
AccessNumber Imported Successfully!,AccessNumber已成功導入！
Records Not Imported:,記錄未導入：
Back to AccessNumber List,返回訪問號碼列表
Speed Dial Number Updated Successfully,快速撥號號碼已成功更新
Please insert only numeric value!,請僅插入數值！
Speed Dial Number Removed Successfully,快速撥號號碼已成功刪除
Speed Dial Number is Empty,快速撥號號碼為空
Sip Device removed successfully!,Sip設備已成功刪除！
Sip updated successfully!,Sip更新成功！
Block Code Removed Sucessfully!,阻止代碼已成功刪除！
Your Account Limit has been reached.Please Change Your Prefix.,已達到您的帳戶限額。請更改您的前綴。
Please Enter Proper Account Length.,請輸入正確的帳戶長度。
Bulk customer generate successfully!,大量客戶產生成功！
Recharge successfully!,充電成功！
Post charge applied successfully.,過帳費用已成功應用。
Account callerID updated successfully!,帳戶來電顯示已成功更新！
Account callerID added successfully!,帳戶callerID已成功添加！
Reseller updated successfully!,代理商更新成功！
Reseller added successfully!,轉銷商添加成功！
Updated successfully!,更新成功！
Added Successfully!,已成功添加！
Customer batch updated successfully!,客戶批次成功更新！
Reseller batch updated successfully!,轉銷商批次已成功更新！
Customer Removed Successfully!,客戶已成功刪除！
Reseller Removed Successfully!,轉銷商已成功刪除！
Provider Removed Successfully!,提供者已成功刪除！
Admin Removed Successfully!,管理員已成功刪除！
Sub Admin Removed Successfully!,子管理員已成功刪除！
DID Added Successfully.,DID已成功添加。
DID Already Removed Before.,DID已被刪除。
Account Tax Added Successfully!,帳戶稅已成功添加！
Account Tax Removed Successfully!,帳戶稅已成功刪除！
Product Removed Sucessfully.,產品已成功刪除。
Email Resend Successfully!,電子郵件重新發送成功！
Email List Updated Successfully!,電子郵件列表已成功更新！
Email List Added Successfully!,電子郵件列表已成功添加！
Email Removed Successfully!,電子郵件已成功刪除！
Please Try Again!,請再試一次！
Email BroadCast Successfully!,成功發送電子郵件給BroadCast！
No Record Found!,沒有找到記錄！
Email Address Not Found!,找不到電子郵件地址！
Edit Freeswitch SIP Devices,編輯Freeswitch SIP設備
Create Freeswitch SIP Devices,創建Freeswitch SIP設備
Gateway Updated Successfully!,網關已成功更新！
Gateways already exist in system.,網關已存在於系統中。
Gateway name must not have any space.,網關名稱不能有任何空格。
Gateway Added Successfully!,網關已成功添加！
Gateway Removed Successfully!,網關已成功刪除！
Please enter All profile value!,請輸入所有配置文件值！
SIP Profile name must not have any space!,SIP配置文件名稱不能有任何空格！
Duplicate SIP IP OR Port found it must be unique!,重複的SIP IP OR端口發現它必須是唯一的！
SIP Profile Added Successfully!,SIP配置文件已成功添加！
Name must be unique!,名稱必須唯一！
SIP Profile Updated Successfully!,SIP配置文件已成功更新！
SIP Setting Added Successfully!,SIP設置已成功添加！
SIP Setting Updated Successfully!,SIP設置已成功更新！
SIP Setting Removed Successfully!,SIP設置已成功刪除！
SIP Profile Removed Successfully!,SIP配置文件已成功刪除！
Host Already Exist in System.,主機已存在於系統中。
Freeswitch Server Updated Successfully!,Freeswitch服務器已成功更新！
Freeswitch Server Added Successfully!,Freeswitch服務器已成功添加！
Freeswitch Server Removed Successfully!,Freeswitch服務器已成功刪除！
Invoice updated successfully!,發票已成功更新！
Invoice payment done successfully!,發票付款成功完成！
Account Not Found.,找不到帳戶。
Invoice payment amount should be higher then the invoice amount.,發票付款金額應高於發票金額。
The Favicon file size shoud not exceed 1MB!,Favicon文件大小不應超過1MB！
Please upload 250 * 60 size file,請上傳250 * 60大小的文件
Logo only allows file types of JPG and JPEG.,徽標僅允許JPG和JPEG的文件類型。
Favicon only allows file types of ICO,Favicon僅允許使用ICO的文件類型
Please upload 16 * 16 size of favicon.,請上傳16 * 16大小的圖標。
Company profile updated sucessfully!,公司簡介已成功更新！
Company profile added sucessfully!,公司簡介已成功添加！
Permission Denied.,沒有權限。
